"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","signaling receptor binding","GO:0005102","1.5452381614292074e-14","13.811004574994293","1564","128","43","20195","S100A12,APOA1,APOC3,FABP4,IGHG1,APOA2,NAMPT,IGHM,HLA-DRB1,LRG1,HSPG2,S100A8,ITGAM,PTPRC,CCL5,CD74,HLA-DRA,ANXA1,HSPA1A,HSP90B1,PPIA,STAT1,YWHAH,CD36,CD177,IGHV3-30,SPP1,PRTN3,IGHG4,AREG,CCL3,IGHA1,PF4,CCL4,XCL2,SAA1,CRP,TF,APOB,KNG1,KLRD1,PPBP,IGLC3"
"GO:MF","lipase inhibitor activity","GO:0055102","4.791252740406578e-10","9.319550919338297","16","48","6","20195","APOC3,APOA2,APOC2,ANXA3,ANXA2,ANXA1"
"GO:MF","MHC class II protein complex binding","GO:0023026","3.061096068168153e-8","7.514123040471069","25","57","6","20195","HLA-DRB1,HLA-DPB1,CD74,HLA-DPA1,HLA-DRA,PKM"
"GO:MF","antigen binding","GO:0003823","3.3261923315028695e-8","7.47805264203911","172","128","13","20195","IGHG1,IGHM,HLA-DRB1,HLA-DPB1,HLA-DPA1,HLA-DRA,IGLV3-21,IGHV3-30,IGHG4,SPON2,IGHA1,KLRD1,IGLC3"
"GO:MF","high-density lipoprotein particle receptor binding","GO:0070653","9.737253026159696e-8","7.011563544542615","3","13","3","20195","APOA1,APOC3,APOA2"
"GO:MF","lipoprotein particle receptor binding","GO:0070325","1.1285348314577132e-7","6.9474850321764405","29","116","7","20195","APOA1,APOC3,APOA2,HSPG2,HSP90B1,CRP,APOB"
"GO:MF","MHC protein complex binding","GO:0023023","1.8814736845321706e-7","6.725501851615917","33","57","6","20195","HLA-DRB1,HLA-DPB1,CD74,HLA-DPA1,HLA-DRA,PKM"
"GO:MF","lipid binding","GO:0008289","4.443017236900665e-7","6.352322001889374","831","30","12","20195","APOA1,APOA4,APOC3,FABP4,APOA2,IGHM,APOC2,BPI,ANXA3,S100A8,RBP4,NCF4"
"GO:MF","phosphatidylcholine-sterol O-acyltransferase activator activity","GO:0060228","0.0000019452813295184165","5.71101758147344","6","13","3","20195","APOA1,APOA4,APOA2"
"GO:MF","phosphatidylcholine binding","GO:0031210","0.000004980957612930783","5.302687154021198","31","17","4","20195","APOA1,APOA4,APOA2,IGHM"
